geocode_name,rows,properties,years,occupation_completeness,at_risk_sites,distinct_at_risk_brands,clustered_sites,isolated_sites,clustered_share
Ashford,60220,9612,10,0.8373962138824311,25,16,22,3,0.88
Basingstoke and Deane,52798,7916,10,0.8829311716352892,21,14,13,8,0.6190476190476191
Bedford,63667,9478,10,0.9516547033785163,24,12,19,5,0.7916666666666666
Birmingham,538045,76017,10,0.7665176704550735,110,23,78,32,0.7090909090909091
Blackpool,74234,10323,10,0.9685858232076946,24,11,14,10,0.5833333333333334
"Bournemouth, Christchurch and Poole",176173,24243,10,0.9246138738626237,64,21,49,15,0.765625
Bradford,223413,33292,10,0.9176905551601742,53,17,38,15,0.7169811320754716
Braintree,58502,9128,10,0.9410276571741137,16,10,12,4,0.75
Brent,103959,15061,10,0.9558672168835791,18,11,13,5,0.7222222222222222
Brighton and Hove,127306,18039,10,0.7511586256735739,42,22,37,5,0.8809523809523809
"Bristol, City of",195027,30533,10,0.9148374327657196,65,27,47,18,0.7230769230769231
Bromley,83030,11606,10,0.9607611706612068,46,20,37,9,0.8043478260869565
Buckinghamshire,172981,25220,10,0.7863522583405114,45,17,32,13,0.7111111111111111
Cambridge,51716,7671,10,0.7851728671977725,35,24,28,7,0.8
Camden,214431,30254,10,0.8916294752158037,103,21,94,9,0.912621359223301
Cannock Chase,40744,5980,10,0.8838847437659533,12,8,4,8,0.3333333333333333
Canterbury,68606,9505,10,0.9030551263737866,23,17,15,8,0.6521739130434783
Cardiff,154036,23664,10,0.8448349736425251,51,22,36,15,0.7058823529411765
Central Bedfordshire,80942,11533,10,0.9667910355563243,19,10,11,8,0.5789473684210527
Charnwood,54594,7639,10,0.7566032897387991,21,8,15,6,0.7142857142857143
Chelmsford,58322,8646,10,0.9625527245293372,30,20,25,5,0.8333333333333334
Cheshire West and Chester,135035,20118,10,0.7156440922723738,61,23,53,8,0.8688524590163934
Chesterfield,49229,7246,10,0.9450933392918808,23,14,20,3,0.8695652173913043
City of London,246044,38501,10,0.7691876249776463,45,12,43,2,0.9555555555555556
Colchester,69626,10181,10,0.9524890127251314,30,16,23,7,0.7666666666666667
County Durham,185410,28183,10,0.6833342322420581,54,16,45,9,0.8333333333333334
Coventry,100965,14610,10,0.9303917199029367,46,18,29,17,0.6304347826086957
Crawley,41806,6416,10,0.841864804095106,27,18,20,7,0.7407407407407407
Cumberland,142118,20972,10,0.544681180427532,30,15,23,7,0.7666666666666667
Darlington,44385,6539,10,0.9603920243325448,16,10,14,2,0.875
Dartford,37074,5354,10,0.9225063386740033,21,16,18,3,0.8571428571428571
Derby,96256,13227,10,0.930425116356383,41,20,27,14,0.6585365853658537
Dorset,199324,29994,10,0.5990849069856113,24,9,11,13,0.4583333333333333
Dudley,120637,16993,10,0.7648151064764541,48,19,41,7,0.8541666666666666
East Cambridgeshire,27462,3900,10,0.8826378268152356,4,4,4,0,1.0
East Riding of Yorkshire,133087,19220,10,0.9603342174667698,19,11,11,8,0.5789473684210527
East Staffordshire,46746,6524,10,0.8879262396782612,22,10,17,5,0.7727272727272727
Eastbourne,35312,4640,10,0.9606082917988219,22,14,14,8,0.6363636363636364
Fareham,37512,5270,10,0.9523352527191299,14,8,8,6,0.5714285714285714
Gloucester,46791,7004,10,0.9599281913188433,38,17,33,5,0.868421052631579
Guildford,52136,7754,10,0.9257518796992481,17,14,14,3,0.8235294117647058
Hammersmith and Fulham,111224,15399,10,0.9714000575415378,55,20,48,7,0.8727272727272727
Harlow,28553,4267,10,0.8149406367106784,26,14,19,7,0.7307692307692307
Hartlepool,32412,4604,10,0.7354374922868073,15,8,9,6,0.6
Isle of Wight,84765,13092,10,0.7890874771426886,17,9,9,8,0.5294117647058824
Kensington and Chelsea,100740,13526,10,0.972046853285686,33,14,22,11,0.6666666666666666
Lancaster,62505,9963,10,0.9498600111991041,19,11,14,5,0.7368421052631579
Leeds,357319,53438,10,0.8048998234070956,119,26,97,22,0.8151260504201681
Leicester,144601,20922,10,0.893347902158353,40,22,32,8,0.8
Lincoln,41221,6144,10,0.7929210839135392,28,17,24,4,0.8571428571428571
Maidstone,60166,8840,10,0.9410464381876807,24,13,17,7,0.7083333333333334
Manchester,311875,48842,10,0.7305907815631263,72,25,52,20,0.7222222222222222
Milton Keynes,95593,14800,10,0.9416798301130836,51,22,43,8,0.8431372549019608
North Devon,72031,11539,10,0.8873818217156502,18,13,16,2,0.8888888888888888
North Hertfordshire,52082,7471,10,0.9305326216351139,22,7,14,8,0.6363636363636364
North Northamptonshire,128634,18859,10,0.8643515711242751,40,14,29,11,0.725
