t,treatment_rate,treatment_n,control_rate,control_n,gap_pp,treatment_pct,control_pct
-4,0.07838660578386605,1314,0.0905871938624963,3389,-1.2200588078630252,7.838660578386605,9.058719386249631
-3,0.07292954264524104,1618,0.09169260234618147,4177,-1.876305970094043,7.292954264524104,9.169260234618147
-2,0.08076358296622614,2043,0.09537246049661399,5316,-1.4608877530387852,8.076358296622614,9.5372460496614
-1,0.09201557935735151,2054,0.09307479224376732,5415,-0.10592128864158057,9.201557935735151,9.307479224376731
0,0.2592959841348537,2017,0.09841384282624369,5548,16.088214130861004,25.929598413485373,9.841384282624368
1,0.2837769964841788,1991,0.10530073175084775,5603,17.847626473333104,28.37769964841788,10.530073175084775
2,0.2924418604651163,1720,0.11923786109403811,4881,17.320399937107815,29.24418604651163,11.92378610940381
3,0.27237654320987653,1296,0.10400616332819723,3894,16.83703798816793,27.23765432098765,10.400616332819723
4,0.24979591836734694,1225,0.105318588730911,3798,14.447732963643595,24.979591836734695,10.5318588730911
5,0.22313296903460839,1098,0.09955506117908787,3596,12.357790785552051,22.313296903460838,9.955506117908786
