treat_uarn,control_uarn,brand,event_year,geocode_name,category_subgroup,treated_rateable_value,control_rateable_value,control_distance_to_clustered_exposure_m
332176,3573851000,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38750.0,
332176,14683577000,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38500.0,
332176,534866176,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38500.0,
400176,1541655000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,420000.0,
400176,1738967000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,420000.0,
400176,13284893000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,372500.0,
663042,1829630000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,134000.0,
663042,11270751000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,129000.0,
663042,12202038000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,129000.0,
1438037,2338279000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,90000.0,
1438037,17387037,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,90000.0,
1438037,12366613000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,89500.0,
1601022,191207022,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,51000.0,
1601022,38338022,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,51000.0,
1601022,10003638000,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,50000.0,
2335045,102517045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,
2335045,6046820000,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,
2335045,67049045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,
2360045,2376045,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,36750.0,
2360045,42337045,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,37000.0,
2360045,2914284000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,37000.0,
3287132,219785132,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,60000.0,
3287132,8322481000,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,59500.0,
3287132,281538132,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,59500.0,
3292132,9409945000,carluccios,2020,Cheshire West and Chester,RETAIL_RESTAURANTS_AND_CAFES,83000.0,83000.0,
3292132,1188116000,carluccios,2020,Cheshire West and Chester,RETAIL_RESTAURANTS_AND_CAFES,83000.0,83000.0,
3292132,9610238000,carluccios,2020,Cheshire West and Chester,RETAIL_RESTAURANTS_AND_CAFES,83000.0,84000.0,
4131183,7089514000,poundworld,2018,North Devon,RETAIL_HIGH_STREET,42000.0,42000.0,
4131183,2006500000,poundworld,2018,North Devon,RETAIL_HIGH_STREET,42000.0,41750.0,
4131183,6960080000,poundworld,2018,North Devon,RETAIL_HIGH_STREET,42000.0,42250.0,
5859141,4182853000,arcadia,2020,Brighton and Hove,RETAIL_HIGH_STREET,13750.0,13750.0,
5859141,13198497000,arcadia,2020,Brighton and Hove,RETAIL_HIGH_STREET,13750.0,13750.0,
5859141,14301691000,arcadia,2020,Brighton and Hove,RETAIL_HIGH_STREET,13750.0,13750.0,
5935244,8566326000,wilko,2023,Leeds,RETAIL_HIGH_STREET,98500.0,98500.0,
5935244,374352244,wilko,2023,Leeds,RETAIL_HIGH_STREET,98500.0,99000.0,
5935244,10565615000,wilko,2023,Leeds,RETAIL_HIGH_STREET,98500.0,97500.0,
6757082,7233030000,ted baker,2024,Kensington and Chelsea,RETAIL_HIGH_STREET,580000.0,580000.0,
6757082,1081450000,ted baker,2024,Kensington and Chelsea,RETAIL_HIGH_STREET,580000.0,580000.0,
6757082,15024563000,ted baker,2024,Kensington and Chelsea,RETAIL_HIGH_STREET,580000.0,575000.0,
7177126,11886138000,thomas cook,2019,Preston,RETAIL_HIGH_STREET,131000.0,130000.0,
7177126,759681000,thomas cook,2019,Preston,RETAIL_HIGH_STREET,131000.0,129000.0,
7177126,187112126,thomas cook,2019,Preston,RETAIL_HIGH_STREET,131000.0,129000.0,
7345183,135298183,body shop,2024,North Devon,RETAIL_HIGH_STREET,61000.0,61000.0,
7345183,146310183,body shop,2024,North Devon,RETAIL_HIGH_STREET,61000.0,61000.0,
7345183,101534183,body shop,2024,North Devon,RETAIL_HIGH_STREET,61000.0,60750.0,
7350183,3238964000,thomas cook,2019,North Devon,RETAIL_HIGH_STREET,34000.0,34250.0,
7350183,321284182,thomas cook,2019,North Devon,RETAIL_HIGH_STREET,34000.0,33250.0,
7350183,14760793000,thomas cook,2019,North Devon,RETAIL_HIGH_STREET,34000.0,34750.0,
7391183,146305183,maplin,2018,North Devon,RETAIL_HIGH_STREET,47250.0,47250.0,
7391183,4190183,maplin,2018,North Devon,RETAIL_HIGH_STREET,47250.0,47000.0,
7391183,7380183,maplin,2018,North Devon,RETAIL_HIGH_STREET,47250.0,46500.0,
7427183,11464228000,maplin,2018,North Devon,RETAIL_HIGH_STREET,46500.0,46250.0,
7427183,14685044000,maplin,2018,North Devon,RETAIL_HIGH_STREET,46500.0,46000.0,
7427183,104735183,maplin,2018,North Devon,RETAIL_HIGH_STREET,46500.0,45000.0,
8067126,8605785000,wilko,2023,Preston,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,377500.0,377500.0,
8067126,12655825000,wilko,2023,Preston,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,377500.0,372500.0,
8067126,240691126,wilko,2023,Preston,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,377500.0,382500.0,
8371032,12865726000,thomas cook,2019,Lincoln,RETAIL_HIGH_STREET,42500.0,42500.0,
8371032,584856032,thomas cook,2019,Lincoln,RETAIL_HIGH_STREET,42500.0,42000.0,
8371032,8382032,thomas cook,2019,Lincoln,RETAIL_HIGH_STREET,42500.0,43000.0,
9018104,5781338000,thomas cook,2019,County Durham,RETAIL_HIGH_STREET,53000.0,53000.0,
9018104,276967104,thomas cook,2019,County Durham,RETAIL_HIGH_STREET,53000.0,52500.0,
9018104,135529104,thomas cook,2019,County Durham,RETAIL_HIGH_STREET,53000.0,52500.0,
9241032,151063032,debenhams,2020,Lincoln,INDUSTRIAL_GENERAL,19000.0,19000.0,
9241032,12669402000,debenhams,2020,Lincoln,INDUSTRIAL_GENERAL,19000.0,19000.0,
9241032,13495677000,debenhams,2020,Lincoln,INDUSTRIAL_GENERAL,19000.0,19000.0,
9754082,4470015000,carluccios,2020,Kensington and Chelsea,RETAIL_RESTAURANTS_AND_CAFES,73000.0,73000.0,
9754082,90225082,carluccios,2020,Kensington and Chelsea,RETAIL_RESTAURANTS_AND_CAFES,73000.0,73000.0,
9754082,27868082,carluccios,2020,Kensington and Chelsea,RETAIL_RESTAURANTS_AND_CAFES,73000.0,73000.0,
9783017,33114017,poundworld,2018,Watford,RETAIL_HIGH_STREET,8200.0,8200.0,
9783017,35265017,poundworld,2018,Watford,RETAIL_HIGH_STREET,8200.0,8200.0,
9783017,35266017,poundworld,2018,Watford,RETAIL_HIGH_STREET,8200.0,8200.0,
9794113,9050302000,paperchase,2023,Manchester,RETAIL_HIGH_STREET,83500.0,83500.0,
9794113,9794113,paperchase,2023,Manchester,RETAIL_HIGH_STREET,83500.0,83500.0,
9794113,2567674000,paperchase,2023,Manchester,RETAIL_HIGH_STREET,83500.0,83000.0,
9835113,4679584000,body shop,2024,Manchester,RETAIL_HIGH_STREET,129000.0,129000.0,
9835113,11938902000,body shop,2024,Manchester,RETAIL_HIGH_STREET,129000.0,128000.0,
9835113,524712000,body shop,2024,Manchester,RETAIL_HIGH_STREET,129000.0,128000.0,
10085152,3089890000,arcadia,2020,Surrey Heath,RETAIL_HIGH_STREET,87500.0,87500.0,
10085152,624452152,arcadia,2020,Surrey Heath,RETAIL_HIGH_STREET,87500.0,86000.0,
10085152,350240152,arcadia,2020,Surrey Heath,RETAIL_HIGH_STREET,87500.0,89500.0,
10301124,7876148000,paperchase,2023,Cumberland,RETAIL_HIGH_STREET,131000.0,129000.0,
10301124,102937124,paperchase,2023,Cumberland,RETAIL_HIGH_STREET,131000.0,134000.0,
10301124,8499558000,paperchase,2023,Cumberland,RETAIL_HIGH_STREET,131000.0,127000.0,
10422132,14776457000,bhs,2016,Cheshire West and Chester,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,1160000.0,1160000.0,
10422132,14180513000,bhs,2016,Cheshire West and Chester,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,1160000.0,1160000.0,
10422132,14776460000,bhs,2016,Cheshire West and Chester,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,1160000.0,1170000.0,
11853036,472663000,thomas cook,2019,Norwich,RETAIL_HIGH_STREET,97000.0,96500.0,
11853036,5723690000,thomas cook,2019,Norwich,RETAIL_HIGH_STREET,97000.0,96500.0,
11853036,6024323000,thomas cook,2019,Norwich,RETAIL_HIGH_STREET,97000.0,97500.0,
12008214,6505214,carluccios,2020,Gloucester,RETAIL_HIGH_STREET,4150.0,4150.0,
12008214,2750630000,carluccios,2020,Gloucester,RETAIL_HIGH_STREET,4150.0,4150.0,
12008214,223816214,carluccios,2020,Gloucester,RETAIL_HIGH_STREET,4150.0,4150.0,
12561104,11336982000,arcadia,2020,County Durham,RETAIL_HIGH_STREET,138000.0,139000.0,
12561104,135546104,arcadia,2020,County Durham,RETAIL_HIGH_STREET,138000.0,141000.0,
12561104,13944396000,arcadia,2020,County Durham,RETAIL_HIGH_STREET,138000.0,144000.0,
12575104,5781342000,body shop,2024,County Durham,RETAIL_HIGH_STREET,57500.0,57500.0,
12575104,276976104,body shop,2024,County Durham,RETAIL_HIGH_STREET,57500.0,57500.0,
12575104,272269000,body shop,2024,County Durham,RETAIL_HIGH_STREET,57500.0,57000.0,
13378017,10530567000,bhs,2016,Watford,RETAIL_HIGH_STREET,5800.0,5800.0,
13378017,6946495000,bhs,2016,Watford,RETAIL_HIGH_STREET,5800.0,5800.0,
13378017,34986017,bhs,2016,Watford,RETAIL_HIGH_STREET,5800.0,5800.0,
13584186,5911648000,thomas cook,2019,Somerset,RETAIL_HIGH_STREET,16000.0,16000.0,
13584186,59353186,thomas cook,2019,Somerset,RETAIL_HIGH_STREET,16000.0,16000.0,
13584186,3641189000,thomas cook,2019,Somerset,RETAIL_HIGH_STREET,16000.0,16000.0,
13695022,9183375000,arcadia,2020,Chelmsford,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,355000.0,350000.0,
13695022,12403799000,arcadia,2020,Chelmsford,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,355000.0,347500.0,
13695022,11369138000,arcadia,2020,Chelmsford,RETAIL_OTHER_SUPERSTORES_AND_WAREHOUSES,355000.0,342500.0,
13807022,10543754000,paperchase,2023,Chelmsford,RETAIL_HIGH_STREET,149000.0,148000.0,
13807022,11492217000,paperchase,2023,Chelmsford,RETAIL_HIGH_STREET,149000.0,147000.0,
13807022,190635022,paperchase,2023,Chelmsford,RETAIL_HIGH_STREET,149000.0,147000.0,
14528214,1268040000,arcadia,2020,Gloucester,RETAIL_HIGH_STREET,23750.0,23500.0,
14528214,18230214,arcadia,2020,Gloucester,RETAIL_HIGH_STREET,23750.0,23500.0,
14528214,325871214,arcadia,2020,Gloucester,RETAIL_HIGH_STREET,23750.0,23500.0,
14748036,874437000,paperchase,2023,Norwich,RETAIL_HIGH_STREET,85500.0,85500.0,
14748036,8926478000,paperchase,2023,Norwich,RETAIL_HIGH_STREET,85500.0,86000.0,
14748036,28162036,paperchase,2023,Norwich,RETAIL_HIGH_STREET,85500.0,84500.0,
14755036,67426036,cath kidston,2020,Norwich,RETAIL_HIGH_STREET,104000.0,104000.0,
14755036,7920095000,cath kidston,2020,Norwich,RETAIL_HIGH_STREET,104000.0,105000.0,
14755036,11826903000,cath kidston,2020,Norwich,RETAIL_HIGH_STREET,104000.0,105000.0,
14760036,52846036,body shop,2024,Norwich,RETAIL_HIGH_STREET,68500.0,68000.0,
14760036,6942817000,body shop,2024,Norwich,RETAIL_HIGH_STREET,68500.0,68000.0,
14760036,3329667000,body shop,2024,Norwich,RETAIL_HIGH_STREET,68500.0,67500.0,
14793216,567950216,thomas cook,2019,Swindon,RETAIL_HIGH_STREET,27750.0,27750.0,
14793216,4755378000,thomas cook,2019,Swindon,RETAIL_HIGH_STREET,27750.0,27750.0,
14793216,3747395000,thomas cook,2019,Swindon,RETAIL_HIGH_STREET,27750.0,27750.0,
15133108,164139108,poundworld,2018,York,RETAIL_HIGH_STREET,217000.0,216000.0,
15133108,1259337000,poundworld,2018,York,RETAIL_HIGH_STREET,217000.0,218000.0,
15133108,8240348000,poundworld,2018,York,RETAIL_HIGH_STREET,217000.0,218000.0,
15335108,9952588000,body shop,2024,York,RETAIL_HIGH_STREET,77500.0,77000.0,
15335108,1756767000,body shop,2024,York,RETAIL_HIGH_STREET,77500.0,78000.0,
15335108,9045943000,body shop,2024,York,RETAIL_HIGH_STREET,77500.0,78000.0,
15517172,92806000,maplin,2018,"Bournemouth, Christchurch and Poole",RETAIL_HIGH_STREET,66500.0,66250.0,
15517172,183938172,maplin,2018,"Bournemouth, Christchurch and Poole",RETAIL_HIGH_STREET,66500.0,66000.0,
15517172,8789709000,maplin,2018,"Bournemouth, Christchurch and Poole",RETAIL_HIGH_STREET,66500.0,66000.0,
