treat_uarn,control_uarn,brand,event_year,geocode_name,category_subgroup,treated_rateable_value,control_rateable_value,control_distance_to_clustered_exposure_m
332176,3573851000,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38750.0,334.9841794502131
332176,534866176,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38500.0,4520.881207636088
332176,14683577000,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38500.0,2255.395494991107
400176,10496771000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,109000.0,945.251373028872
400176,5150218000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,89500.0,3022.436310000427
400176,14515334000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,73000.0,492.6727275629293
663042,7778800000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,112000.0,2533.153925837929
663042,19718042,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,96000.0,1098.4539253994826
663042,11420057000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,194000.0,463.1402445667517
1438037,14588537000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,87000.0,2774.8183130894795
1438037,9376155000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,70000.0,304.9435662252486
1438037,10562767000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,115000.0,219.27567614599826
1601022,191207022,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,51000.0,167.69688768162825
1601022,38338022,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,51000.0,5995.551975405451
1601022,10003638000,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,50000.0,10105.288613732466
2335045,34895045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,271.1781283047137
2335045,6046820000,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,28100.468510584782
2335045,215031045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,16199.02280448977
2360045,13046121000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,37000.0,1238.6671247339414
2360045,2914284000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,37000.0,2499.848433460397
2360045,10181640000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,35750.0,16065.884245919786
3287132,10560113000,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,59000.0,366.19082203538414
3287132,325408133,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,58500.0,7871.77649741802
3287132,10069303000,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,58500.0,199.33976165485893
3292132,9409945000,carluccios,2020,Cheshire West and Chester,RETAIL_RESTAURANTS_AND_CAFES,83000.0,83000.0,1022.3147974291195
3292132,9610238000,carluccios,2020,Cheshire West and Chester,RETAIL_RESTAURANTS_AND_CAFES,83000.0,84000.0,274.9881988921293
3292132,14908673000,carluccios,2020,Cheshire West and Chester,RETAIL_RESTAURANTS_AND_CAFES,83000.0,81500.0,607.922578575875
4131183,7089514000,poundworld,2018,North Devon,RETAIL_HIGH_STREET,42000.0,42000.0,14235.404298578635
4131183,322086182,poundworld,2018,North Devon,RETAIL_HIGH_STREET,42000.0,43750.0,251.44597178482087
4131183,99648183,poundworld,2018,North Devon,RETAIL_HIGH_STREET,42000.0,44500.0,193.14430167483576
5859141,12085914000,arcadia,2020,Brighton and Hove,RETAIL_HIGH_STREET,13750.0,13750.0,2627.7924129681005
5859141,52025141,arcadia,2020,Brighton and Hove,RETAIL_HIGH_STREET,13750.0,13750.0,1224.506610310408
5859141,12619087000,arcadia,2020,Brighton and Hove,RETAIL_HIGH_STREET,13750.0,13750.0,651.2378418585636
5935244,10565615000,wilko,2023,Leeds,RETAIL_HIGH_STREET,98500.0,97500.0,187.71774209036408
5935244,10565640000,wilko,2023,Leeds,RETAIL_HIGH_STREET,98500.0,99500.0,187.71774209036408
5935244,10565617000,wilko,2023,Leeds,RETAIL_HIGH_STREET,98500.0,96500.0,187.71774209036408
6757082,1081450000,ted baker,2024,Kensington and Chelsea,RETAIL_HIGH_STREET,580000.0,580000.0,721.7454684414978
6757082,7233030000,ted baker,2024,Kensington and Chelsea,RETAIL_HIGH_STREET,580000.0,580000.0,304.33236787762803
6757082,9267961000,ted baker,2024,Kensington and Chelsea,RETAIL_HIGH_STREET,580000.0,585000.0,885.2535057560947
7177126,759681000,thomas cook,2019,Preston,RETAIL_HIGH_STREET,131000.0,129000.0,256.31537973836123
7177126,6638180000,thomas cook,2019,Preston,RETAIL_HIGH_STREET,131000.0,135000.0,833.9429704771022
7177126,12829126,thomas cook,2019,Preston,RETAIL_HIGH_STREET,131000.0,73000.0,301.27509069767984
7345183,14951790000,body shop,2024,North Devon,RETAIL_HIGH_STREET,61000.0,59000.0,7606.579938099747
7345183,13102390000,body shop,2024,North Devon,RETAIL_HIGH_STREET,61000.0,50500.0,193.14430167483576
7345183,12687167000,body shop,2024,North Devon,RETAIL_HIGH_STREET,61000.0,49250.0,11567.158770039294
7350183,3238964000,thomas cook,2019,North Devon,RETAIL_HIGH_STREET,34000.0,34250.0,7680.744004248842
