t,treatment_rate,treatment_n,control_rate,control_n,gap_pp
-4,0.07838660578386605,1314,0.08475628686743247,3221,-0.636968108356642
-3,0.07292954264524104,1618,0.0817768803634528,3962,-0.8847337718211765
-2,0.08076358296622614,2043,0.07911392405063292,5056,0.16496589155932245
-1,0.09201557935735151,2054,0.0757605115287735,5161,1.625506782857801
0,0.2592959841348537,2017,0.08027956176803928,5294,17.901642236681443
1,0.2837769964841788,1991,0.08441318030359127,5402,19.936381618058753
2,0.2924418604651163,1720,0.09428390634887154,4741,19.815795411624475
3,0.27237654320987653,1296,0.0870712401055409,3790,18.530530310433562
4,0.24979591836734694,1225,0.08272702775532202,3711,16.70688906120249
5,0.22313296903460839,1098,0.07960339943342776,3530,14.352956960118062
