treat_uarn,control_uarn,brand,event_year,geocode_name,category_subgroup,treated_rateable_value,control_rateable_value,control_distance_to_clustered_exposure_m
332176,534866176,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38500.0,4520.881207636088
332176,14683577000,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,38500.0,2255.395494991107
332176,197227176,bella italia,2020,Southampton,RETAIL_RESTAURANTS_AND_CAFES,38750.0,39000.0,2110.6268228681797
400176,10496771000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,109000.0,945.251373028872
400176,5150218000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,89500.0,3022.436310000427
400176,14515334000,arcadia,2020,Southampton,RETAIL_HIGH_STREET,427500.0,73000.0,492.6727275629293
663042,7778800000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,112000.0,2533.153925837929
663042,19718042,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,96000.0,1098.4539253994826
663042,11420057000,toys r us,2018,Derby,RETAIL_HIGH_STREET,136000.0,194000.0,463.1402445667517
1438037,14588537000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,87000.0,2774.8183130894795
1438037,7669255000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,63500.0,1053.6725769393279
1438037,6784859000,body shop,2024,Nottingham,RETAIL_HIGH_STREET,90000.0,55500.0,957.3115022580656
1601022,38338022,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,51000.0,5995.551975405451
1601022,10003638000,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,50000.0,10105.288613732466
1601022,10701514000,prezzo,2018,Chelmsford,RETAIL_RESTAURANTS_AND_CAFES,51000.0,50000.0,4247.218942699886
2335045,215031045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,16199.02280448977
2335045,244194045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,16197.276727991764
2335045,102517045,debenhams,2020,West Northamptonshire,RETAIL_HIGH_STREET,9600.0,9600.0,28100.468510584782
2360045,2914284000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,37000.0,2499.848433460397
2360045,13046121000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,37000.0,1238.6671247339414
2360045,10181640000,thomas cook,2019,West Northamptonshire,RETAIL_HIGH_STREET,36750.0,35750.0,16065.884245919786
3287132,325408133,thomas cook,2019,Cheshire West and Chester,RETAIL_HIGH_STREET,60000.0,58500.0,7871.77649741802
