t,treatment_rate,treatment_n,control_rate,control_n,gap_pp
-4,0.07838660578386605,1314,0.0762081784386617,3228,0.2178427345204348
-3,0.07292954264524104,1618,0.07406477529500377,3983,-0.11352326497627296
-2,0.08076358296622614,2043,0.07331493890421759,5074,0.7448644062008556
-1,0.09201557935735151,2054,0.06890561667631731,5181,2.3109962681034197
0,0.2592959841348537,2017,0.0736565201052236,5322,18.563946402963012
1,0.2837769964841788,1991,0.07936507936507936,5418,20.441191711909944
2,0.2924418604651163,1720,0.08673577321768564,4727,20.570608724743064
3,0.27237654320987653,1296,0.0799475753604194,3815,19.242896784945714
4,0.24979591836734694,1225,0.07735546038543897,3736,17.244045798190797
5,0.22313296903460839,1098,0.0742713004484305,3568,14.886166858617788
