t,treatment_rate,treatment_n,control_rate,control_n,gap_pp
-4,0.07838660578386605,1314,0.0905871938624963,3389,-1.2200588078630252
-3,0.07292954264524104,1618,0.09169260234618147,4177,-1.876305970094043
-2,0.08076358296622614,2043,0.09537246049661399,5316,-1.4608877530387852
-1,0.09201557935735151,2054,0.09307479224376732,5415,-0.10592128864158057
0,0.2592959841348537,2017,0.09841384282624369,5548,16.088214130861004
1,0.2837769964841788,1991,0.10530073175084775,5603,17.847626473333104
2,0.2924418604651163,1720,0.11923786109403811,4881,17.320399937107815
3,0.27237654320987653,1296,0.10400616332819723,3894,16.83703798816793
4,0.24979591836734694,1225,0.105318588730911,3798,14.447732963643595
5,0.22313296903460839,1098,0.09955506117908787,3596,12.357790785552051
